"date","city","province","total"
2020-03-05,"chungbuk","chungcheong",3
2020-03-05,"chungnam","chungcheong",4
2020-03-05,"daegu","gyeongsang",367
2020-03-05,"daejeon","chungcheong",2
2020-03-05,"gangwon","gangwon",2
2020-03-05,"gwangju","jeolla",0
2020-03-05,"gyeongbuk","gyeongsang",123
2020-03-05,"gyeonggi","gyeonggi",10
2020-03-05,"gyeongnam","gyeongsang",3
2020-03-05,"incheon","gyeonggi",0
2020-03-05,"jeju","jeolla",0
2020-03-05,"jeonbuk","jeolla",0
2020-03-05,"jeonnam","jeolla",0
2020-03-05,"quarantine_station",NA,0
2020-03-05,"sejong","chungcheong",0
2020-03-05,"seoul","gyeonggi",2
2020-03-05,"ulsan","gyeongsang",0
2020-03-06,"busan","gyeongsang",1
2020-03-06,"chungbuk","chungcheong",5
2020-03-06,"chungnam","chungcheong",2
2020-03-06,"daegu","gyeongsang",390
2020-03-06,"daejeon","chungcheong",0
2020-03-06,"gangwon","gangwon",1
2020-03-06,"gwangju","jeolla",0
2020-03-06,"gyeongbuk","gyeongsang",65
2020-03-06,"gyeonggi","gyeonggi",10
2020-03-06,"gyeongnam","gyeongsang",5
2020-03-06,"incheon","gyeonggi",0
2020-03-06,"jeju","jeolla",0
2020-03-06,"jeonbuk","jeolla",0
2020-03-06,"jeonnam","jeolla",0
2020-03-06,"quarantine_station",NA,0
2020-03-06,"sejong","chungcheong",1
2020-03-06,"seoul","gyeonggi",3
2020-03-06,"ulsan","gyeongsang",0
2020-03-07,"busan","gyeongsang",1
2020-03-07,"chungbuk","chungcheong",4
2020-03-07,"chungnam","chungcheong",0
2020-03-07,"daegu","gyeongsang",297
2020-03-07,"daejeon","chungcheong",1
2020-03-07,"gangwon","gangwon",1
2020-03-07,"gwangju","jeolla",0
2020-03-07,"gyeongbuk","gyeongsang",32
2020-03-07,"gyeonggi","gyeonggi",11
2020-03-07,"gyeongnam","gyeongsang",1
2020-03-07,"incheon","gyeonggi",0
2020-03-07,"jeju","jeolla",0
2020-03-07,"jeonbuk","jeolla",0
2020-03-07,"jeonnam","jeolla",0
2020-03-07,"quarantine_station",NA,0
2020-03-07,"sejong","chungcheong",6
2020-03-07,"seoul","gyeonggi",12
2020-03-07,"ulsan","gyeongsang",1
2020-03-08,"busan","gyeongsang",0
2020-03-08,"chungbuk","chungcheong",1
2020-03-08,"chungnam","chungcheong",1
2020-03-08,"daegu","gyeongsang",190
2020-03-08,"daejeon","chungcheong",3
2020-03-08,"gangwon","gangwon",1
2020-03-08,"gwangju","jeolla",2
2020-03-08,"gyeongbuk","gyeongsang",26
2020-03-08,"gyeonggi","gyeonggi",11
2020-03-08,"gyeongnam","gyeongsang",0
2020-03-08,"incheon","gyeonggi",0
2020-03-08,"jeju","jeolla",0
2020-03-08,"jeonbuk","jeolla",0
2020-03-08,"jeonnam","jeolla",0
2020-03-08,"quarantine_station",NA,0
2020-03-08,"sejong","chungcheong",4
2020-03-08,"seoul","gyeonggi",10
2020-03-08,"ulsan","gyeongsang",0
2020-03-09,"busan","gyeongsang",0
2020-03-09,"chungbuk","chungcheong",0
2020-03-09,"chungnam","chungcheong",0
2020-03-09,"daegu","gyeongsang",92
2020-03-09,"daejeon","chungcheong",2
2020-03-09,"gangwon","gangwon",0
